属性类型,状态,关键词行数,处理日期,备注
零件物料号,done,360,2026-07-05,物料号、备件号、电子板号、纯数字编号、部件/管件等编号型或部件型词。
技术知识与参考,done,204,2026-07-05,蒸汽表、饱和/过热蒸汽、容器/管路/工程设计参考等知识主题。
公司品牌与法人信息,done,177,2026-07-05,品牌名、公司名、法人后缀、集团、历史、公司简介、子公司等公司信息。
资料手册与下载,done,170,2026-07-05,手册、目录、PDF、handbook、catalogue、download、图书等资料下载意图。
采购渠道与价格,done,168,2026-07-05,经销商、代理商、供应商、销售、联系方式、价格表、备件采购等渠道意图。
投资者财务,done,147,2026-07-05,股价、股票、年报、投资者关系、营收、市值、FTSE 等财务投资意图。
组织人员与治理,done,123,2026-07-05,董事会、CEO、CFO、管理层、员工人数、治理和人员信息。
招聘雇主信息,done,111,2026-07-05,招聘、职业、毕业生项目、薪资、面试、员工评价等雇主意图。
地区分支机构,done,102,2026-07-05,国家、地区、分支机构、区域站点相关词。
官网账号与媒体资产,done,87,2026-07-05,官网、登录、Anytime、App、Logo、社媒、门户入口、图片/Revit 资产等数字入口。
培训教程与课程,done,81,2026-07-05,培训、课程、教程、webinar、academy、learn about steam 等学习意图。
规格参数,done,77,2026-07-05,DN、PN、NPT、尺寸、压力、流量、连接、螺纹和管道规格等纯规格参数。
工程工具与计算器,done,76,2026-07-05,管径选型、阀门选型、蒸汽计算器、Sizing Suite、软件等工具类意图。
解决方案与服务,done,72,2026-07-05,节能、脱碳、净零、可持续蒸汽管理、服务与咨询等方案型词。
资源格式,done,64,2026-07-05,CAD、BIM、DWG、3D、图片、模型库等资源格式词。
集团品牌与竞品关联,done,57,2026-07-05,Chromalox、Gestra、Hiter、Watson Marlow、Thermocoax、Vulcanic 等关联品牌。
材料牌号,done,39,2026-07-05,GGG40、CF8M、A395、CA40F、GG 等材料牌号。
噪声与无效查询,done,44,2026-07-05,明显乱码、单字母/单数字、无可执行意图或与产品分类无关的噪声查询。
新闻事件与公告,done,22,2026-07-05,新闻、收购、裁员、公告等事件型词。
工商税务标识,done,20,2026-07-05,CNPJ、CUIT 等工商或税务登记标识。
站内导航与通用查询,done,18,2026-07-05,产品总览、站内搜索、通用模块、泛产品导航等非产品系列查询。
资料编号,done,15,2026-07-05,IM/TI/T-P/RIM 等资料或技术文档编号。
规格材料组合,done,13,2026-07-05,规格参数和材料牌号同时出现的组合词。
标准法规,done,9,2026-07-05,标准、法规、认证或合规相关词。
