属性类型,归类口径,示例触发词
规格参数,DN、PN、NPT、尺寸等纯规格参数。; 10k; ansi 300; bar; kg/h; pulgadas; micras; mesh; bridas; roscada; sello; sedi; peek seat class vi; tipo 4x; pressure balance trim; anti cavitante; balancing disc; cl 30; set temperatura; \bpmo\b; type 4; type s; \brf\b; \bm5\b; welded connection; \bxs\b; \bzg\b; zg 25,"dn, pn, npt, mm"
材料牌号,GGG40、CF8M、A395、CA40F 等材料牌号。; a 395; ca 40; cast iron; inox; gjs 100; ggg; alliage; azul ral 5010; grasa 85w140; cc491km; epr; fn2sn3ntr; \bgg\b,"ggg40, cf8m, a395, ca40f"
规格材料组合,规格参数和材料牌号同时出现的组合词。; ansi 300 + perforation; body cap f 316; m5 3p 316; cl51 9mo; ar16f 125 60,"pn16 ggg40, pn25 cf8m"
零件物料号,物料号、备件号、电子板号等编号型词。; 纯数字物料号; maintenance kit; replacement kit; capsule assembly; serial number; spare part terms; c15055; 220632-25-08; a 57651; es000110; 1571001000; hm00; hs-7300; jy 2; kh 1071; lsb3; nts sxs; rp 824; stw24; v93ad; sv 5708; swp 01; 47700-a; 59231-a; 13e024; 1673c4; 560dcma; 662-t1; d363cvc; ij-vgl-fl-020; 73j2t; 82pde; 69b43; 07 8g; 1bd; 211s; 4m310; 511s; av 713; 46390; 570 hj; 570-gg; vl2m20; elemento spirax sarco 3.81; 纯数字品牌查询; 1ct; bico; niple para gas natural; ubar700; gl519n; gl519nq; dts-300; brc2s; bsc4; bt37; ep400; b730; pv6211; pns420; td4252; hwsus; mx1m; wcv2v; fjw-1; bh754; aw2000; bm7; ecv; m200; ms102; ms30; mv11; pfg; sh1512; pmc; stvm; af1; af10; af250; a20a; ans1300; aus32; atpn,"part number, p58178, 41574; 纯数字物料号; item number; codigo; ubar700; brc2s; hwsus; aw2000; sh1512; af250"
资料编号,IM/TI/T-P 等资料或技术文档编号。; ti-p; tis; document tis; codument tis; ti-po17-07; ti/p; bpm ti; rim 10 im,"im-, ti-, t-p"
标准法规,标准、法规、认证或合规相关词。; bs7438; crn; fda; msds; normas,"bs7438, nr13"
资源格式,CAD、BIM、DWG、3D、图片、模型库等资源格式词。; modelos; desenhos; solidworks; drawings; modelo csx; modelo vmf; modelo vmr; modelo de controle de qualidade; modelo 211s; 2700 uniword; 2700 uniworld; uniworldpdf; 2d,"cad, bim, dwg, 3d, revit"
资料手册与下载,手册、目录、PDF、handbook、catalogue、download、图书等资料下载意图。; documentation; catalago; guide; books; literature; presentacion; stms descargar; chemical map; diagramme des 5m; dibujo; mechanical specification; prezi; grafico tecnico; traductor; cross reference; ejemplos; knowledge; teknik bilgiler,"manual, pdf, catalogue, handbook, libro"
投资者财务,股价、股票、年报、投资者关系、营收、市值、FTSE 等财务投资意图。; financial calendar; financials; dividends; equiniti; audit report; swot analysis; pest; weakness; credit union; cooperativa de creditos; agm,"share price, stock, annual report, investor, revenue; action; agm online vote; analisi finanziaria; bbva; chinese investment; cooperativa de creditos"
采购渠道与价格,经销商、代理商、供应商、销售、联系方式、价格表、备件采购等渠道意图。; fornecedor; leverancier; proveedor; prodaja; webshop; ebay; precio; prix; cost of; data sell; distribution; socios; dexis; norauto; banzatto; banzzato; kened; seidelmann; oceanwood; promati; meridian; cena,"distributor, dealer, supplier, contact, price, venta; where can i buy; where can a buy; buy spirax sarco products; agenzia; autorizada; aliexpress; contacto; contato; cena"
公司品牌与法人信息,品牌名、公司名、法人后缀、集团、历史、公司简介、子公司等公司信息。; what is spirax sarco; que es; o que faz; founded; origen; sp z o.o; n.v; oy; brand guidelines; brands; marketing strategy; aktiebolag; istoric; value discipline; brand typo variants; pronuncia; aspire; avantages; awareness; valores; properties; strategy marketing; customer strategy; flexibility; gestion; beta,"inc, ltd, plc, company, group, origin"
培训教程与课程,培训、课程、教程、webinar、academy、learn about steam 等学习意图。; b.o.a.s; corsi; cours; diploma; instituto do vapor; capacitacion; koulutus; schulung; stoomcursus; szkolenia; mundo do vapor,"training, course, tutorial, webinar, seminar"
招聘雇主信息,招聘、职业、毕业生项目、薪资、面试、员工评价等雇主意图。; reviews; redundancy; indeed; gowork; gradcracker; vacantes; vacature; offerte lavoro; stellenangebote; core team work; como e trabalha; montador tecnico; kariyer; opinie; praca opinie; engineer; benefits; ergonomia; assurecnce; \beng\b; \bengr\b,"jobs, careers, graduate, salary, employee reviews; assessment center; assessment centre; bumeran; salario; apprenti"
官网账号与媒体资产,官网、登录、Anytime、App、Logo、社媒、门户入口、图片/Revit 资产等数字入口。; citrix; extranet; ishare; dashboard excel; logo; videos; steam tools mobile; cyber security; mail; prps.spirax.sarco,"website, login, app, logo, photos, revit"
技术知识与参考,蒸汽表、饱和/过热蒸汽、闪蒸汽、工程设计参考等知识主题。; steam and condensate loop; steam table; enthalpy; pipe design; tank heat loss; what is steam; superheated steam; pressure drop; perdida de carga; condensate line design; evaporation rate; expansion loop; steam header design; heat transfer; warm up condensate; tablas termodinamicas; flow coefficient; saturation temperature; schema idraulico; lira o herradura; methods to recover condensate; flow through; pneumatic differential pressure; pid control; curvas de bombas; dilatacion termica; espesores de aislaciones; typical site steam leaks; steam jacket; steam lock release; pipe support; piping; hanger support; convergent-divergent nozzle; separate chambers; scope steam; condensados; condensino; \bloop\b; insulation; jackets; generic steam query; generic vapor query; generic condensate query; generacion de vapor; alarmas de alta seguridad; posso usar; colocacion aireador; instalacion de actuadas; montage; cp of fluids; specific heat capacity; \bvmd\b; valve motor drive; evaporador vessels; generic vessel query; cooling leg; cooling pot,"steam table, saturated steam, vapor saturado, tablas de vapor; hook-ups; design of fluid systems hookups; cooling leg"
工程工具与计算器,管径选型、阀门选型、蒸汽计算器、Sizing Suite、软件等工具类意图。; cv calc; kalkulator; unit converter; steam calc; przelicznik; tools,"calculator, sizing, software, berechnungsprogramme; calculadora; calculador; calcular diametro"
集团品牌与竞品关联,Chromalox、Gestra、Hiter、Watson Marlow、Thermocoax、Vulcanic 等关联品牌。; john crane; honeywell; magnetrol; tlv; forbes marshall; emco; imi; duyar; versus; novus1100; ifm su7000; mag 5000,"chromalox, gestra, hiter, thermocoax, vulcanic; alternativa; competencia; competencias; ari armaturen; carel"
