token,状态,产品系列/类型,依据,移动行数,处理时间,备注
FT15,done,疏水阀,官网搜索+关键词语义：float and thermostatic steam trap,8,2026-07-04T20:35:15,batch-1
FT75,done,疏水阀,官网搜索+关键词语义：float and thermostatic steam trap,7,2026-07-04T20:35:15,batch-1
DP17,done,减压阀,官网搜索+关键词语义：pressure reducing valve,7,2026-07-04T20:35:15,batch-1
TDS52,done,疏水阀,官网搜索+关键词语义：thermodynamic steam trap,8,2026-07-04T20:35:15,batch-1
B1H,done,疏水阀,官网搜索+关键词语义：inverted bucket steam trap,18,2026-07-04T20:35:15,batch-1
VS204,done,排空气阀,官网搜索+关键词语义：vent / vent head,7,2026-07-04T20:35:15,batch-1
LC3000,done,液位控制器,官网搜索+关键词语义：level controller,7,2026-07-04T20:35:15,batch-1
PN9000,done,执行器,官网搜索+关键词语义：pneumatic actuator,6,2026-07-04T20:44:47,batch-2
PN9123E,done,执行器,官网搜索+关键词语义：pneumatic actuator,8,2026-07-04T20:44:47,batch-2
M40,done,球阀,官网搜索+关键词语义：ball valve,6,2026-07-04T20:44:47,batch-2
QL33,done,控制阀,官网搜索+关键词语义：control valve,6,2026-07-04T20:44:47,batch-2
SCS20,done,取样冷却器,官网搜索+关键词语义：sample cooler,5,2026-07-04T20:44:47,batch-2
BT1000,done,排污控制器,官网搜索+关键词语义：blowdown controller,5,2026-07-04T20:44:47,batch-2
FT550,done,疏水阀,官网搜索+关键词语义：float and thermostatic steam trap,7,2026-07-04T21:10:00,batch-3
FT552,done,疏水阀,官网搜索+关键词语义：float and thermostatic steam trap,5,2026-07-04T21:10:00,batch-3
FT450,done,疏水阀,官网搜索+关键词语义：float and thermostatic steam trap,4,2026-07-04T21:10:00,batch-3
FT125,done,疏水阀,官网搜索+关键词语义：float and thermostatic steam trap,4,2026-07-04T21:10:00,batch-3
FTI125,done,疏水阀,官网搜索+关键词语义：float and thermostatic steam trap,4,2026-07-04T21:10:00,batch-3
BPT13S,done,疏水阀,官网搜索+关键词语义：balanced pressure thermostatic steam trap,4,2026-07-04T21:10:00,batch-3
B1X,done,疏水阀,官网搜索+关键词语义：inverted bucket steam trap,5,2026-07-04T21:10:00,batch-3
VLM20,done,流量计,官网搜索+关键词语义：vortex flowmeter,5,2026-07-04T21:10:00,batch-3
PF61G,done,角阀,官网搜索+关键词语义：piston actuated on/off valve,10,2026-07-04T21:30:00,batch-4
SP200,done,阀门定位器,官网搜索+关键词语义：electropneumatic smart positioner,3,2026-07-04T21:30:00,batch-4
TD62,done,疏水阀,官网搜索+关键词语义：thermodynamic steam trap,3,2026-07-04T21:30:00,batch-4
BCR3150,done,排污控制器,官网搜索+关键词语义：blowdown controller,3,2026-07-04T21:30:00,batch-4
BC1100,done,排污控制器,文档检索+关键词语义：blowdown controller,3,2026-07-04T21:50:00,batch-5
BCS4,done,排污控制系统,文档检索+关键词语义：boiler control system for TDS control,3,2026-07-04T21:50:00,batch-5
DLV7,done,减压阀,官网文档+关键词语义：direct acting pressure reducing valve,3,2026-07-04T21:50:00,batch-5
IPC4,done,电气转换器,官网文档+关键词语义：electro-pneumatic converter,5,2026-07-04T21:50:00,batch-5
M21SI2,done,球阀,文档检索+关键词语义：ISO ball valve,3,2026-07-04T22:10:00,batch-6
ISP5,done,阀门定位器,文档检索+关键词语义：intrinsically safe electro-pneumatic positioner,3,2026-07-04T22:10:00,batch-6
AEL5,done,执行器,文档检索+关键词语义：electric actuator,2,2026-07-04T22:25:00,batch-7
BC3210,done,排污控制器,文档检索+关键词语义：blowdown controller,3,2026-07-04T22:25:00,batch-7
AEL3E,done,执行器,官网搜索+关键词语义：electric actuator,2,2026-07-04T22:40:00,batch-8
AV21,done,排空气阀,官网搜索+关键词语义：steam air vent,2,2026-07-04T22:40:00,batch-8
LCV1,done,止回阀,文档检索+官网/产品语义归类,1,2026-07-04T23:35:00,batch-10
DBB3,done,截止阀,文档检索+官网/产品语义归类,1,2026-07-04T23:35:00,batch-10
UTD30L,done,疏水阀,文档检索+官网/产品语义归类,1,2026-07-04T23:35:00,batch-10
KE43,done,控制阀,文档检索+官网/产品语义归类,1,2026-07-04T23:35:00,batch-10
LEA31,done,控制阀,文档检索+官网/产品语义归类,1,2026-07-04T23:35:00,batch-10
PP5,done,阀门定位器,文档检索+官网/产品语义归类,1,2026-07-04T23:35:00,batch-10
M800,done,流量计算机,文档检索+官网/产品语义归类,1,2026-07-04T23:35:00,batch-10
BPT13SX,done,疏水阀,文档检索+产品资料标题/安装手册,1,2026-07-04T23:55:00,batch-11
FT14X,done,疏水阀,文档检索+产品资料标题/安装手册,1,2026-07-04T23:55:00,batch-11
PN600,done,气动控制器,文档检索+产品资料标题/安装手册,3,2026-07-04T23:55:00,batch-11
